Wall time,Step,Value
1686689761.096164,0,0.16911229491233826
1686690119.597926,50,0.19238272309303284
1686690478.393931,100,0.2010243833065033
1686690837.4354112,150,0.2218160629272461
1686691195.509122,200,0.2367212474346161
1686691553.9580066,250,0.23872680962085724
1686691909.8403215,300,0.2710290551185608
1686692266.719108,350,0.27593109011650085
1686692624.154663,400,0.2809886932373047
1686692982.2457159,450,0.2952481806278229
1686693340.0469248,500,0.2957194149494171
1686693697.0914485,550,0.31702616810798645
1686694055.99228,600,0.31645074486732483
1686694413.2857807,650,0.3311879634857178
1686694770.5902593,700,0.34530460834503174
1686695128.7300334,750,0.3378399610519409
1686695487.4498987,800,0.3447967767715454
1686695845.9829903,850,0.344616562128067
1686696202.024177,900,0.3450104296207428
1686696559.9582062,950,0.36450105905532837
1686696916.5599363,1000,0.36634910106658936
1686697274.8551033,1050,0.37049540877342224
1686697633.0670786,1100,0.3782738447189331
1686697991.1347222,1150,0.3853725790977478
1686698349.0124433,1200,0.38338977098464966
1686698705.8948138,1250,0.3970264792442322
1686699062.0186071,1300,0.4079079031944275
1686699419.680024,1350,0.4103872776031494
1686699778.3197157,1400,0.42426398396492004
1686700135.2926774,1450,0.4132487177848816
1686700490.7336967,1500,0.4228670001029968
1686700848.2908697,1550,0.41396987438201904
1686701205.6152894,1600,0.425027072429657
1686701562.2857263,1650,0.43428143858909607
1686701919.2018116,1700,0.43583911657333374
1686702275.989135,1750,0.4433653950691223
1686702632.0001633,1800,0.4542016088962555
1686702990.0758672,1850,0.4510239064693451
1686703347.947258,1900,0.4618893563747406
1686703704.4968712,1950,0.4616158604621887
1686704061.6716352,2000,0.470794141292572
1686704420.5069559,2050,0.4659806787967682
1686704777.370726,2100,0.4687623083591461
1686705133.4757245,2150,0.47033292055130005
1686705490.814103,2200,0.48391038179397583
1686705850.4245722,2250,0.47903844714164734
1686706207.9484382,2300,0.48562055826187134
1686706564.6295211,2350,0.481847882270813
1686706920.2884386,2400,0.4756663143634796
1686707278.3686194,2450,0.4815579652786255
1686707635.9860666,2500,0.48492446541786194
1686707992.457155,2550,0.4947197735309601
1686708349.487279,2600,0.49897056818008423
1686708707.8127954,2650,0.49647265672683716
1686709066.2428193,2700,0.4939899146556854
1686709425.0510714,2750,0.4847911298274994
1686709784.1077,2800,0.4974023699760437
1686710141.6160314,2850,0.5050953030586243
1686710497.4786656,2900,0.5018736124038696
1686710853.0161982,2950,0.507784366607666
