Wall time,Step,Value
1685477162.9850295,0,0.0017690755194053054
1685477178.5820982,1,0.0022910889238119125
1685477193.6932251,2,0.0026613855734467506
1685477208.8918183,3,0.0029471255838871002
1685477224.1886013,4,0.0031992848962545395
1685477239.2934227,5,0.003430028213188052
1685477254.3555534,6,0.0036743099335581064
1685477269.4114928,7,0.0039303782396018505
1685477284.8553417,8,0.004196973517537117
1685477300.4780354,9,0.004455262329429388
1685477316.073173,10,0.004780685994774103
1685477331.7164357,11,0.004938877187669277
1685477346.9937649,12,0.005127984564751387
1685477362.3896554,13,0.0055070980452001095
1685477378.0373266,14,0.00572688365355134
1685477393.534142,15,0.005919293966144323
1685477409.0796275,16,0.0062677147798240185
1685477424.5873349,17,0.006672634277492762
1685477439.8662393,18,0.006899913307279348
1685477455.599001,19,0.0071703409776091576
1685477470.9021661,20,0.0073113697580993176
1685477486.21738,21,0.0076070502400398254
1685477501.870534,22,0.007952142506837845
1685477517.1493654,23,0.008289073593914509
1685477532.4177558,24,0.008606689050793648
1685477547.9180923,25,0.00853460282087326
1685477563.4218893,26,0.009016727097332478
1685477579.0158823,27,0.00922541506588459
1685477594.406114,28,0.009371417574584484
1685477610.0014853,29,0.00958522129803896
1685477625.9257252,30,0.009596162475645542
1685477641.2460341,31,0.010006582364439964
1685477656.7622716,32,0.010071900673210621
1685477672.1672893,33,0.010325687006115913
1685477687.5658312,34,0.01058918982744217
1685477702.906718,35,0.010772991925477982
1685477718.2024693,36,0.01055057905614376
1685477733.6898818,37,0.010907169431447983
1685477749.7278993,38,0.01127665676176548
1685477765.0740285,39,0.011260231025516987
1685477780.4902334,40,0.011303811334073544
1685477795.7528899,41,0.011875313706696033
1685477811.4254897,42,0.01167178526520729
1685477826.6082363,43,0.012416045181453228
1685477842.0760953,44,0.012230015359818935
1685477857.2678084,45,0.01236023660749197
1685477873.5603745,46,0.012805400416254997
1685477890.2749863,47,0.01285775937139988
1685477905.6565044,48,0.012659466825425625
1685477921.3272712,49,0.01284435112029314
