Wall time,Step,Value
1687295946.4505374,0,0.18055662512779236
1687296001.9005404,2,0.3757513165473938
1687296056.6878357,4,0.5307146310806274
1687296111.787031,6,0.5562829375267029
1687296167.075239,8,0.6202424168586731
1687296222.14667,10,0.6559257507324219
1687296277.780997,12,0.6480863094329834
1687296334.0913296,14,0.6358869671821594
1687296389.1006222,16,0.6769543886184692
1687296444.1154623,18,0.6698289513587952
1687296498.768536,20,0.6345022320747375
1687296553.6713138,22,0.6443318128585815
1687296608.1883411,24,0.6487858295440674
1687296663.4310243,26,0.6603521108627319
1687296718.7010045,28,0.6730375289916992
1687296773.4306302,30,0.6048490405082703
1687296828.2177188,32,0.6851947903633118
1687296883.0416415,34,0.650772213935852
1687296937.8019269,36,0.6266712546348572
1687296992.8163588,38,0.6079920530319214
