Wall time,Step,Value
1687302584.5042007,0,0.18872636556625366
1687302639.4389153,2,0.3316001892089844
1687302694.6703682,4,0.47118034958839417
1687302750.4799685,6,0.5268253684043884
1687302805.1865718,8,0.4926619529724121
1687302859.6077,10,0.5628108382225037
1687302917.7500865,12,0.5799678564071655
1687302973.245925,14,0.5554401874542236
1687303027.9347167,16,0.6244534850120544
1687303082.7275717,18,0.6731273531913757
1687303137.8009982,20,0.6550586819648743
1687303192.6794727,22,0.6012157201766968
1687303247.8071032,24,0.6569395661354065
1687303302.6847954,26,0.5515701770782471
1687303357.2440777,28,0.4853845536708832
1687303411.6863854,30,0.6322867274284363
1687303466.128466,32,0.626448929309845
1687303520.4462442,34,0.612068235874176
1687303575.9728997,36,0.6485180258750916
1687303630.6830482,38,0.6269757151603699
