Wall time,Step,Value
1687261484.3654473,0,0.3387671113014221
1687261541.5490384,2,0.5709187984466553
1687261596.987022,4,0.6775522828102112
1687261654.4858024,6,0.684689462184906
1687261710.1416297,8,0.7215859293937683
1687261764.6385593,10,0.6714032888412476
1687261819.3941922,12,0.7067839503288269
1687261873.668634,14,0.6885713934898376
1687261928.3345647,16,0.7126080393791199
1687261982.984208,18,0.7353774309158325
1687262037.7814724,20,0.6958827972412109
1687262092.8153522,22,0.6874428391456604
1687262147.7839715,24,0.6781007051467896
