Wall time,Step,Value
1687294845.3026412,0,0.32146549224853516
1687294899.9074385,2,0.5299398899078369
1687294954.7350073,4,0.659723162651062
1687295009.7152421,6,0.7035249471664429
1687295064.319609,8,0.7266991138458252
1687295118.7810707,10,0.7367419600486755
1687295173.2427394,12,0.7426705956459045
1687295227.593004,14,0.6838212609291077
1687295282.4026117,16,0.7257939577102661
1687295336.7353656,18,0.7128461003303528
1687295391.8325899,20,0.6909562945365906
1687295445.6670103,22,0.7097681164741516
1687295499.9815905,24,0.6954853534698486
1687295554.686287,26,0.7033454775810242
1687295609.34899,28,0.6620714068412781
1687295663.9541209,30,0.7361981272697449
1687295718.4090137,32,0.7397730946540833
1687295772.8613486,34,0.7062826156616211
1687295827.5159163,36,0.7223697304725647
1687295882.3504007,38,0.6273470520973206
